species,    N[m^-3],    Tperp[eV],  Tpara[eV],  charge, mass,               injection number
IN:O+,      2d11,       1d-1,       1d-1,       1d0,    2.677950266103d-26, 349
IN:H+,      2d8,        1d0,        1d0,        1d0,    1.67262192369d-27,  349
IN:colde-,  2d11,       2d-1,       2d-1,       -1d0,   9.1093837015d-31,   349
IN:hote-,   3d7,        1d2,        1d2,        -1d0,   9.1093837015d-31,   349
IS:O+,      2d11,       1d-1,       1d-1,       1d0,    2.677950266103d-26, 1
IS:H+,      2d8,        1d0,        1d0,        1d0,    1.67262192369d-27,  1
IS:colde-,  2d11,       2d-1,       2d-1,       -1d0,   9.1093837015d-31,   1
IS:hote-,   3d7,        1d2,        1d2,        -1d0,   9.1093837015d-31,   1
eq:H+,      1d5,        1d3,        1d3,        1d0,    1.67262192369d-27,  175
eq:e-,      1d5,        2d2,        2d2,        -1d0,   9.1093837015d-31,   175
trapS:e-,   1d4,        4d2,        4d2,        -1d0,   9.1093837015d-31,   73
trapN:e-,   1d4,        4d2,        4d2,        -1d0,   9.1093837015d-31,   277
